story,tense,index,ka,correct,distractors,en
The Little Red Box,aorist,1,პატარა გოგონამ იპოვა ყუთი.,იპოვა,"იპოვის, პოულობს, იპოვეს, ვიპოვე, ეძებდა, ეძება",The young girl found a box.
The Little Red Box,aorist,2,მან მიიტანა ყუთი სკოლაში.,მიიტანა,"მიაქვს, მიიტანს, მიიტანეს, მივიტანე, მიჰქონდა, მოიტანა",She carried the box to school.
The Little Red Box,aorist,3,მისი საუკეთესო მეგობარი მოვიდა დასახმარებლად.,მოვიდა,"მოდის, მოვა, მოვიდნენ, მოვედი, მოდიოდა, წავიდა",Her best friend came to help.
The Little Red Box,aorist,4,ისინი შევიდნენ დიდ საკლასო ოთახში.,შევიდნენ,"შედიან, შევლენ, შევედით, შევიდა, შედიოდნენ, გავიდნენ",They went inside the big classroom.
The Little Red Box,aorist,5,მასწავლებელმა მოიტანა პატარა გასაღები.,მოიტანა,"მოაქვს, მოიტანს, მოიტანეს, მოვიტანე, მოჰქონდა, მიიტანა",The teacher brought a small key.
The Little Red Box,aorist,6,მან მისცა მას გასაღები.,მისცა,"აძლევს, მისცემს, მისცეს, მივეცი, აძლევდა, აიღო",He gave the key to her.
The Little Red Box,aorist,7,მან დადო გასაღები შიგნით.,დადო,"დებს, დადებს, დადეს, დავდე, დებდა, აიღო",She put the key inside.
The Little Red Box,aorist,8,მათ გახსნეს წითელი ყუთი.,გახსნეს,"ხსნიან, გახსნიან, გავხსენით, გახსნა, ხსნიდნენ, დაკეტეს",They opened the red box.
The Little Red Box,aorist,9,კაშკაშა ლურჯი ჩიტები სწრაფად გაფრინდნენ.,გაფრინდნენ,"მიფრინავენ, გაფრინდებიან, გავფრინდით, გაფრინდა, მიფრინავდნენ, მოვიდნენ",Bright blue birds flew out fast.
The Little Red Box,aorist,10,ჩიტები წავიდნენ ფანჯარასთან.,წავიდნენ,"მიდიან, წავლენ, წავედით, წავიდა, მიდიოდნენ, მოვიდნენ",The birds went to the window.
The Little Red Box,aorist,11,ბავშვები გაიქცნენ ბაღში.,გაიქცნენ,"გარბიან, გაიქცევიან, გავიქეცით, გაიქცა, გარბოდნენ, შემოიქცნენ",The children ran to the garden.
The Little Red Box,aorist,12,ისინი გაჰყვნენ ჩიტებს გარეთ.,გაჰყვნენ,"მიჰყვებიან, გაჰყვებიან, გავჰყევით, გაჰყვა, მიჰყვებოდნენ, გაუსწრეს",They followed the birds outside today.
The Little Red Box,aorist,13,ერთმა ჩიტმა ატარა ტკბილი ყვავილი.,ატარა,"ატარებს, ატარებს, ატარეს, ვატარე, ატარებდა, მოიტანა",One bird carried a sweet flower.
The Little Red Box,aorist,14,მან მოიტანა ყვავილი მასთან.,მოიტანა,"მოაქვს, მოიტანს, მოიტანეს, მოვიტანე, მოჰქონდა, მიიტანა",It brought the flower to her.
The Little Red Box,aorist,15,გოგონამ აიღო წითელი ყუთი.,აიღო,"იღებს, აიღებს, აიღეს, ავიღე, იღებდა, დადო",The girl took the red box.
The Little Red Box,aorist,16,ისინი ყველანი წავიდნენ სახლში ძალიან ბედნიერები.,წავიდნენ,"მიდიან, წავლენ, წავედით, წავიდა, მიდიოდნენ, მოვიდნენ",They all walked home very happy.
